time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-02T21:23:58.720Z,-24.0728,-67.075,193.63,4.2,mb,,37,1.507,1.1,us,us10005zif,2016-07-02T21:49:50.460Z,"78km WNW of San Antonio de los Cobres, Argentina",earthquake,7.7,8.7,0.152,12,reviewed,us,us
2016-07-02T20:01:59.800Z,-61.4384,-54.1861,10,4.7,mb,,63,2.269,0.81,us,us10005zhv,2016-07-02T21:34:59.337Z,"South Shetland Islands",earthquake,8.2,1.9,0.11,25,reviewed,us,us
2016-07-02T19:00:14.000Z,60.4415,-150.9334,47.8,2.6,ml,,,,0.73,ak,ak13735520,2016-07-02T19:32:23.555Z,"8km SE of Soldotna, Alaska",earthquake,0.3,0.8,,,automatic,ak,ak
2016-07-02T13:27:53.400Z,18.9477,-66.722,53,3.1,Md,4,309.6,0.59737966,0.33,pr,pr16184024,2016-07-02T16:53:15.060Z,"52km NNE of Hatillo, Puerto Rico",earthquake,3.1,5.3,0,3,reviewed,pr,pr
2016-07-02T13:08:05.200Z,19.0072,-66.763,38,2.7,Md,4,327.6,0.65577016,0.15,pr,pr16184022,2016-07-02T16:15:27.875Z,"58km N of Hatillo, Puerto Rico",earthquake,1.8,6,0,4,reviewed,pr,pr
2016-07-02T13:00:22.300Z,18.9901,-66.7813,54,3.3,Md,11,237.6,0.60636282,0.34,pr,pr16184020,2016-07-02T13:49:14.507Z,"55km N of Hatillo, Puerto Rico",earthquake,1.7,4.7,0,11,reviewed,pr,pr
2016-07-02T12:57:54.100Z,18.9319,-66.8245,6,2.9,Md,10,234,0.53449759,0.25,pr,pr16184019,2016-07-02T13:33:29.722Z,"49km N of Hatillo, Puerto Rico",earthquake,1.9,1.8,0,9,reviewed,pr,pr
2016-07-02T12:51:14.900Z,19.0235,-66.7985,27,2.9,Md,7,298.8,0.62702407,0.31,pr,pr16184018,2016-07-02T13:05:22.062Z,"59km N of Hatillo, Puerto Rico",earthquake,1.8,15.1,0,7,reviewed,pr,pr
2016-07-02T12:44:07.500Z,19.0069,-66.833,43,3.1,Md,7,298.8,0.59737966,0.18,pr,pr16184021,2016-07-02T16:16:30.383Z,"57km N of Hatillo, Puerto Rico",earthquake,1.5,4.5,0,4,reviewed,pr,pr
2016-07-02T12:10:15.040Z,36.7954,-97.6182,3.37,3.1,mb_lg,,22,0.201,0.44,us,us10005zgq,2016-07-02T12:20:25.716Z,"10km E of Medford, Oklahoma",earthquake,1.1,7.2,0.052,95,reviewed,us,us
2016-07-02T09:28:55.410Z,-10.3339,119.2328,49.21,4.9,mb,,84,3.41,0.53,us,us10005zfs,2016-07-02T09:55:55.839Z,"65km S of Bogorawatu, Indonesia",earthquake,6.6,7.1,0.074,58,reviewed,us,us
2016-07-02T08:36:47.217Z,38.0711,-117.6404,5.3,2.6,ml,35,40.26,0.274,0.1131,nn,nn00550291,2016-07-03T18:06:31.885Z,"36km W of Tonopah, Nevada",earthquake,0.58,1,0.31,15,reviewed,nn,nn
2016-07-02T08:09:11.698Z,38.0711,-117.6386,5.3,2.8,ml,42,54.61,0.274,0.14,nn,nn00550288,2016-07-03T18:10:32.744Z,"35km W of Tonopah, Nevada",earthquake,0.57,0.9,0.43,18,reviewed,nn,nn
2016-07-02T06:57:08.100Z,18.9943,-66.8028,8,3,Md,9,259.2,0.60007461,0.28,pr,pr16184017,2016-07-02T11:56:24.740Z,"56km N of Hatillo, Puerto Rico",earthquake,1.4,2.5,0,8,reviewed,pr,pr
2016-07-02T06:54:17.300Z,19,-66.8277,36,2.8,Md,8,259.2,0.59288809,0.18,pr,pr16184016,2016-07-02T11:39:50.717Z,"56km N of Hatillo, Puerto Rico",earthquake,1.1,4.7,0,8,reviewed,pr,pr
2016-07-02T06:51:15.300Z,19.0072,-66.8503,13,2.9,Md,13,248.4,0.59109146,0.18,pr,pr16184015,2016-07-02T11:34:05.897Z,"57km N of Hatillo, Puerto Rico",earthquake,1.2,2.1,0,8,reviewed,pr,pr
2016-07-02T06:50:27.300Z,18.9776,-66.837,49,2.7,Md,8,259.2,0.56953189,0.18,pr,pr16184014,2016-07-02T10:38:26.433Z,"54km N of Hatillo, Puerto Rico",earthquake,1.3,3,0,5,reviewed,pr,pr
2016-07-02T06:35:01.240Z,-4.7289,-80.6765,48.58,4.6,mb,,140,2.681,0.61,us,us10005zf8,2016-07-02T06:53:35.895Z,"12km NNW of Querecotillo, Peru",earthquake,5.3,10.6,0.099,30,reviewed,us,us
2016-07-02T06:22:55.630Z,37.3909,-98.0102,2.2,3.3,mb_lg,,86,0.093,0.19,us,us10005zf1,2016-07-02T06:32:40.521Z,"11km N of Harper, Kansas",earthquake,2.7,5.8,0.051,102,reviewed,us,us
2016-07-02T06:22:52.200Z,19.0074,-66.791,42,2.8,Md,8,284.4,0.58300662,0.37,pr,pr16184012,2016-07-02T10:00:09.556Z,"57km N of Hatillo, Puerto Rico",earthquake,2.2,8.1,0,7,reviewed,pr,pr
2016-07-02T06:17:14.900Z,19.0179,-66.856,10,2.9,Md,14,241.2,0.59737966,0.49,pr,pr16184013,2016-07-02T10:19:15.866Z,"58km N of Hatillo, Puerto Rico",earthquake,1.7,3.5,0,12,reviewed,pr,pr
